InChIKey,odorant,Or10a,Or19a,Or22a,Or23a,Or2a,Or33b,Or35a,Or43a,Or43b,Or47a,Or47b,Or49b,Or59b,Or65a,Or67a,Or67c,Or7a,Or82a,Or85a,Or85b,Or85f,Or88a,Or98a,Or9a
MOYAFQVGZZPNRA-UHFFFAOYSA-N,terpinolene,7.0,80.0,23.0,6.0,2.0,35.0,24.0,15.0,14.0,9.0,41.0,10.0,14.0,14.0,45.0,21.0,23.0,11.0,8.0,49.0,12.0,32.0,93.0,2.0
GRWFGVWFFZKLTI-UHFFFAOYSA-N,alpha-pinene,12.0,50.0,37.0,6.0,6.0,38.0,45.0,27.0,6.0,19.0,39.0,4.0,2.0,19.0,18.0,20.0,37.0,13.0,13.0,61.0,25.0,28.0,42.0,2.0
WTARULDDTDQWMU-UHFFFAOYSA-N,beta-pinene,2.0,69.0,14.0,5.0,11.0,35.0,20.0,31.0,11.0,-3.0,49.0,9.0,-2.0,12.0,5.0,12.0,6.0,14.0,17.0,47.0,8.0,28.0,9.0,-3.0
BQOFWKZOCNGFEC-UHFFFAOYSA-N,3-carene,2.0,152.0,15.0,4.0,7.0,30.0,13.0,30.0,9.0,6.0,45.0,2.0,-2.0,15.0,13.0,17.0,21.0,11.0,22.0,29.0,11.0,30.0,5.0,4.0
XMGQYMWWDOXHJM-UHFFFAOYSA-N,limonene,9.0,121.0,38.0,5.0,11.0,33.0,68.0,15.0,8.0,26.0,42.0,13.0,-3.0,15.0,13.0,17.0,21.0,18.0,17.0,60.0,8.0,28.0,42.0,6.0
FAMPSKZZVDUYOS-HRGUGZIWSA-N,alpha-humulene,5.0,22.0,13.0,6.0,7.0,24.0,20.0,10.0,7.0,7.0,47.0,14.0,1.0,16.0,12.0,16.0,27.0,8.0,10.0,32.0,3.0,32.0,10.0,1.0
UAHWPYUMFXYFJY-UHFFFAOYSA-N,beta-myrcene,5.0,50.0,23.0,5.0,10.0,29.0,17.0,16.0,9.0,-1.0,46.0,5.0,-3.0,17.0,48.0,18.0,26.0,9.0,17.0,34.0,9.0,33.0,32.0,2.0
NPNUFJAVOOONJE-GFUGXAQUSA-N,(-)-trans-caryophyllene,8.0,50.0,12.0,4.0,10.0,39.0,31.0,-4.0,10.0,6.0,41.0,1.0,14.0,17.0,5.0,14.0,21.0,15.0,15.0,47.0,12.0,26.0,8.0,6.0
HFPZCAJZSCWRBC-UHFFFAOYSA-N,p-cymene,6.0,49.0,22.0,3.0,6.0,28.0,26.0,13.0,4.0,13.0,45.0,11.0,1.0,10.0,9.0,14.0,16.0,4.0,13.0,30.0,11.0,31.0,3.0,1.0
HIGQPQRQIQDZMP-DHZHZOJOSA-N,geranyl acetate,6.0,38.0,5.0,13.0,10.0,25.0,14.0,11.0,12.0,-1.0,46.0,4.0,39.0,11.0,18.0,3.0,18.0,257.0,13.0,11.0,5.0,27.0,93.0,-2.0
WUOACPNHFRMFPN-SECBINFHSA-N,alpha-terpineol,4.0,114.0,67.0,5.0,10.0,35.0,35.0,22.0,8.0,13.0,39.0,5.0,-6.0,22.0,30.0,24.0,22.0,19.0,2.0,64.0,5.0,33.0,23.0,10.0
GLZPCOQZEFWAFX-JXMROGBWSA-N,geraniol,8.0,31.0,32.0,3.0,7.0,40.0,26.0,5.0,8.0,2.0,40.0,6.0,3.0,16.0,60.0,29.0,18.0,45.0,10.0,54.0,8.0,33.0,101.0,2.0
GLZPCOQZEFWAFX-YFHOEESVSA-N,nerol,2.0,51.0,41.0,6.0,16.0,38.0,27.0,14.0,11.0,1.0,40.0,15.0,-6.0,23.0,25.0,19.0,27.0,17.0,12.0,55.0,12.0,33.0,77.0,5.0
CDOSHBSSFJOMGT-UHFFFAOYSA-N,linalool,0.0,154.0,56.0,12.0,25.0,54.0,43.0,15.0,3.0,21.0,33.0,0.0,-6.0,20.0,95.0,13.0,48.0,28.0,-2.0,64.0,11.0,24.0,152.0,9.0
QMVPMAAFGQKVCJ-SNVBAGLBSA-N,beta-citronellol,4.0,47.0,29.0,3.0,11.0,33.0,28.0,8.0,9.0,0.0,41.0,3.0,0.0,17.0,17.0,25.0,38.0,21.0,22.0,54.0,2.0,33.0,62.0,9.0
BRHDDEIRQPDPMG-UHFFFAOYSA-N,linalool oxide,15.0,120.0,29.0,17.0,38.0,42.0,12.0,39.0,16.0,26.0,38.0,-4.0,20.0,21.0,46.0,28.0,3.0,43.0,23.0,46.0,51.0,30.0,48.0,82.0
IKHGUXGNUITLKF-UHFFFAOYSA-N,acetaldehyde,39.0,48.0,75.0,20.0,29.0,36.0,21.0,25.0,10.0,56.0,9.0,7.0,64.0,31.0,23.0,53.0,182.0,26.0,49.0,50.0,31.0,31.0,30.0,98.0
NBBJYMSMWIIQGU-UHFFFAOYSA-N,propanal,13.0,-23.0,40.0,4.0,26.0,28.0,11.0,-10.0,17.0,13.0,7.0,0.0,14.0,11.0,16.0,21.0,1.0,1.0,29.0,65.0,15.0,17.0,23.0,9.0
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,butanal,12.0,-9.0,57.0,3.0,51.0,25.0,82.0,10.0,53.0,21.0,21.0,1.0,11.0,14.0,73.0,27.0,71.0,23.0,19.0,66.0,25.0,23.0,38.0,9.0
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,pentanal,20.0,9.0,73.0,4.0,30.0,28.0,99.0,8.0,14.0,29.0,25.0,0.0,13.0,19.0,56.0,26.0,188.0,26.0,12.0,67.0,33.0,24.0,39.0,27.0
