InChIKey,odorant,Or10a,Or19a,Or22a,Or23a,Or2a,Or33b,Or35a,Or43a,Or43b,Or47a,Or47b,Or49b,Or59b,Or65a,Or67a,Or67c,Or7a,Or82a,Or85a,Or85b,Or85f,Or88a,Or98a,Or9a
OMSUIQOIVADKIM-UHFFFAOYSA-N,ethyl 3-hydroxybutyrate,82.0,59.0,142.0,43.0,61.0,25.0,104.0,56.0,148.0,77.0,12.0,50.0,37.0,57.0,107.0,95.0,-10.0,21.0,224.0,248.0,79.0,4.0,200.0,207.0
FKRCODPIKNYEAC-UHFFFAOYSA-N,ethyl propionate,52.0,16.0,192.0,4.0,29.0,106.0,18.0,22.0,170.0,56.0,24.0,3.0,101.0,22.0,22.0,53.0,102.0,34.0,58.0,70.0,33.0,21.0,53.0,61.0
WBJINCZRORDGAQ-UHFFFAOYSA-N,ethyl methanoate,17.0,12.0,17.0,4.0,11.0,25.0,6.0,7.0,11.0,-2.0,36.0,11.0,29.0,21.0,9.0,7.0,125.0,14.0,15.0,35.0,15.0,21.0,28.0,27.0
NUKZAGXMHTUAFE-UHFFFAOYSA-N,methyl hexanoate,31.0,65.0,260.0,18.0,47.0,9.0,7.0,24.0,60.0,211.0,14.0,20.0,4.0,37.0,98.0,27.0,57.0,34.0,-2.0,241.0,40.0,-1.0,200.0,56.0
SHZIWNPUGXLXDT-UHFFFAOYSA-N,ethyl hexanoate,0.0,71.0,228.0,22.0,30.0,25.0,-4.0,27.0,6.0,139.0,16.0,6.0,-6.0,25.0,154.0,3.0,4.0,26.0,-8.0,102.0,17.0,15.0,67.0,23.0
NCDCLPBOMHPFCV-UHFFFAOYSA-N,hexyl hexanoate,13.0,4.0,35.0,5.0,9.0,26.0,143.0,7.0,1.0,0.0,51.0,7.0,9.0,16.0,8.0,2.0,13.0,13.0,19.0,30.0,16.0,29.0,17.0,0.0
JGHZJRVDZXSNKQ-UHFFFAOYSA-N,methyl octanoate,1.0,29.0,241.0,6.0,9.0,28.0,27.0,8.0,6.0,59.0,21.0,12.0,-6.0,40.0,4.0,8.0,10.0,32.0,2.0,75.0,8.0,18.0,35.0,7.0
YYZUSRORWSJGET-UHFFFAOYSA-N,ethyl octanoate,0.0,21.0,99.0,5.0,9.0,21.0,5.0,9.0,5.0,19.0,40.0,2.0,0.0,25.0,1.0,7.0,10.0,21.0,6.0,52.0,8.0,21.0,34.0,5.0
RGXWDWUGBIJHDO-UHFFFAOYSA-N,ethyl decanoate,57.0,12.0,10.0,8.0,13.0,26.0,7.0,13.0,9.0,-2.0,44.0,6.0,5.0,14.0,4.0,3.0,5.0,12.0,-6.0,41.0,5.0,21.0,24.0,5.0
ZFDIRQKJPRINOQ-HWKANZROSA-N,ethyl trans-2-butenoate,160.0,38.0,214.0,18.0,19.0,21.0,31.0,-1.0,193.0,45.0,14.0,11.0,-5.0,20.0,115.0,40.0,15.0,32.0,105.0,93.0,31.0,17.0,255.0,106.0
LZCLXQDLBQLTDK-UHFFFAOYSA-N,ethyl lactate,45.0,53.0,74.0,20.0,47.0,27.0,22.0,28.0,95.0,30.0,19.0,42.0,135.0,49.0,50.0,294.0,48.0,58.0,53.0,90.0,84.0,19.0,78.0,78.0
DKMROQRQHGEIOW-UHFFFAOYSA-N,diethyl succinate,1.0,53.0,209.0,35.0,24.0,17.0,-3.0,13.0,6.0,37.0,31.0,5.0,-7.0,23.0,186.0,13.0,6.0,48.0,2.0,48.0,19.0,31.0,16.0,24.0
